Language,Task,Assistant,Strategy,Likert
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,3
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,3
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,3
Spanish,A,A,Strat1,1
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,3
Spanish,A,A,Strat1,2
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,2
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,2
Spanish,A,A,Strat1,4
Spanish,A,A,Strat1,5
Spanish,A,A,Strat1,1
Spanish,A,A,Strat1,2
Spanish,A,B,Strat1,5
Spanish,A,B,Strat1,4
Spanish,A,B,Strat1,3
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,3
Spanish,A,B,Strat1,3
Spanish,A,B,Strat1,3
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,3
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,3
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,5
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,4
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,1
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,3
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,3
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,2
Spanish,A,B,Strat1,4
Spanish,A,A,Strat2,3
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,2
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,3
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,2
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,3
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,3
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,2
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,2
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,3
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,2
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,3
Spanish,A,A,Strat2,3
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,1
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,5
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,3
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,4
Spanish,A,A,Strat2,1
Spanish,A,A,Strat2,2
Spanish,A,B,Strat2,2
Spanish,A,B,Strat2,5
Spanish,A,B,Strat2,2
Spanish,A,B,Strat2,3
Spanish,A,B,Strat2,2
Spanish,A,B,Strat2,2
Spanish,A,B,Strat2,2
Spanish,A,B,Strat2,1
Spanish,A,B,Strat2,4
Spanish,A,B,Strat2,2
Spanish,A,B,Strat2,5
Spanish,A,B,Strat2,2
Spanish,A,B,Strat2,5
Spanish,A,B,Strat2,1
Spanish,A,B,Strat2,4
