Task,Assistant,Language,Strategy
A,Siri,English,1
A,Siri,English,2
A,Siri,English,2
A,Siri,English,2
A,Siri,English,2
A,Siri,English,2
A,Siri,English,2
A,Siri,English,3
A,Siri,English,5
A,Siri,English,6
A,Siri,English,6
A,Siri,English,7
A,Siri,English,8
A,Siri,English,8
A,Siri,English,8
A,Siri,Spanish,1
A,Siri,Spanish,1
A,Siri,Spanish,2
A,Siri,Spanish,2
A,Siri,Spanish,2
A,Siri,Spanish,2
A,Siri,Spanish,3
A,Siri,Spanish,5
A,Siri,Spanish,5
A,Siri,Spanish,6
A,Siri,Spanish,6
A,Siri,Spanish,6
A,Siri,Spanish,8
A,Siri,Spanish,8
A,Siri,Spanish,8
A,Google,English,1
A,Google,English,2
A,Google,English,4
A,Google,English,5
A,Google,English,5
A,Google,English,5
A,Google,English,5
A,Google,English,6
A,Google,English,6
A,Google,English,6
A,Google,English,7
A,Google,English,7
A,Google,English,7
A,Google,English,8
A,Google,English,9
A,Google,Spanish,2
A,Google,Spanish,2
A,Google,Spanish,2
A,Google,Spanish,3
A,Google,Spanish,3
A,Google,Spanish,3
A,Google,Spanish,6
A,Google,Spanish,6
A,Google,Spanish,6
A,Google,Spanish,7
A,Google,Spanish,7
A,Google,Spanish,8
A,Google,Spanish,8
A,Google,Spanish,9
A,Google,Spanish,10
B,Siri,English,2
B,Siri,English,2
B,Siri,English,5
B,Siri,English,5
B,Siri,English,5
B,Siri,English,5
B,Siri,English,5
B,Siri,English,8
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,Spanish,4
B,Siri,Spanish,4
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,5
B,Google,English,5
B,Google,English,5
B,Google,English,9
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
