Task,Assistant,Language,Strategy
B,Siri,English,2
B,Siri,English,2
B,Siri,English,5
B,Siri,English,5
B,Siri,English,5
B,Siri,English,5
B,Siri,English,5
B,Siri,English,8
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,English,9
B,Siri,Spanish,4
B,Siri,Spanish,4
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,5
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Siri,Spanish,8
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,4
B,Google,English,5
B,Google,English,5
B,Google,English,5
B,Google,English,9
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
B,Google,Spanish,4
